Country/GDP billions USD,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
US,1689,2857,4339,5963,7640,10251,13039,15049,18295,21354,30337
China,164,307,310,395,738,1224,2318,6193,11279,15003,19230
Germany,492,922,1262,1744,2175,2608,3011,3510,4143,4880,6175
India,98,366,617,962,1391,2025,3066,4729,7033,9771,17365
Japan,533,1068,1690,2506,3039,3476,4136,4534,5201,5314,6908
UK,242,512,742,1025,1248,1605,2030,2283,2795,3041,4199
France,357,578,809,1113,1341,1683,2048,2345,2719,3021,4135
Italy,228,614,852,1153,1382,1663,1951,2114,2242,2462,3691
Canada,174,275,366,596,606,745,1173,1617,1557,1656,2690
Brazil,129,571,777,1002,1309,1582,2046,2799,3015,3336,5781
