Year,China,United States,India,Japan,Germany,Indonesia,Brazil,Mexico,United Kingdom,France,Russia,Turkey,Saudi Arabia,Canada,Bangladesh,Pakistan,Egypt,Nigeria,Iran,South Korea,Spain,Italy,Philippines,Vietnam,Argentina,Thailand,Malaysia,South Africa,Netherlands,Colombia,Australia,Poland,Taiwan,Nepal,Portugal,Switzerland
2025,29635.0,26000.0,15000.0,5300.0,4400.0,4700.0,4000.0,3300.0,3300.0,3100.0,4500.0,2700.0,2600.0,2000.0,1200.0,1800.0,2000.0,1600.0,2000.0,2500.0,2000.0,2400.0,1500.0,1200.0,1300.0,1600.0,1400.0,1800.0,1000.0,1000.0,1500.0,1300.0,900.0,100.0,400.0,900.0
2026,31309.6,25495.0,15902.2,5361.2,4461.4,4844.8,4087.8,3372.2,3367.6,3155.4,4547.2,2759.2,2631.0,2028.2,1224.8,1813.6,2009.8,1638.8,2031.8,2530.2,2031.8,2428.2,1523.0,1220.6,1308.4,1626.4,1421.2,1829.6,1016.0,1022.2,1532.6,1341.0,910.0,104.0,410.0,920.0
2027,32984.2,24990.0,16804.4,5422.4,4522.8,4989.6,4175.6,3444.4,3435.2,3210.8,4594.4,2818.4,2662.0,2056.4,1249.6,1827.2,2019.6,1677.6,2063.6,2560.4,2063.6,2456.4,1546.0,1241.2,1316.8,1652.8,1442.4,1859.2,1032.0,1044.4,1565.2,1382.0,920.0,108.0,420.0,940.0
2028,34658.8,24485.0,17706.6,5483.6,4584.2,5134.4,4263.4,3516.6,3502.8,3266.2,4641.6,2877.6,2693.0,2084.6,1274.4,1840.8,2029.4,1716.4,2095.4,2590.6,2095.4,2484.6,1569.0,1261.8,1325.2,1679.2,1463.6,1888.8,1048.0,1066.6,1597.8,1423.0,930.0,112.0,430.0,960.0
2029,36333.4,23980.0,18608.8,5544.8,4645.6,5279.2,4351.2,3588.8,3570.4,3321.6,4688.8,2936.8,2724.0,2112.8,1299.2,1854.4,2039.2,1755.2,2127.2,2620.8,2127.2,2512.8,1592.0,1282.4,1333.6,1705.6,1484.8,1918.4,1064.0,1088.8,1630.4,1464.0,940.0,116.0,440.0,980.0
2030,38008.0,23475.0,19511.0,5606.0,4707.0,5424.0,4439.0,3661.0,3638.0,3377.0,4736.0,2996.0,2755.0,2141.0,1324.0,1868.0,2049.0,1794.0,2159.0,2651.0,2159.0,2541.0,1615.0,1303.0,1342.0,1732.0,1506.0,1948.0,1080.0,1111.0,1663.0,1505.0,950.0,120.0,450.0,1000.0
2031,39032.55,24006.35,20741.85,5664.65,4778.55,5677.9,4594.05,3821.1,3724.55,3443.4,4855.75,3105.4,2851.95,2188.95,1411.0,1986.4,2163.2,1921.7,2246.05,2695.4,2187.65,2569.7,1700.95,1396.65,1393.15,1784.5,1571.45,1979.1,1100.8,1159.15,1708.05,1534.9,957.5,124.0,457.5,1020.0
2032,40057.1,24537.7,21972.7,5723.3,4850.1,5931.8,4749.1,3981.2,3811.1,3509.8,4975.5,3214.8,2948.9,2236.9,1498.0,2104.8,2277.4,2049.4,2333.1,2739.8,2216.3,2598.4,1786.9,1490.3,1444.3,1837.0,1636.9,2010.2,1121.6,1207.3,1753.1,1564.8,965.0,128.0,465.0,1040.0
2033,41081.65,25069.05,23203.55,5781.95,4921.65,6185.7,4904.15,4141.3,3897.65,3576.2,5095.25,3324.2,3045.85,2284.85,1585.0,2223.2,2391.6,2177.1,2420.15,2784.2,2244.95,2627.1,1872.85,1583.95,1495.45,1889.5,1702.35,2041.3,1142.4,1255.45,1798.15,1594.7,972.5,132.0,472.5,1060.0
2034,42106.2,25600.4,24434.4,5840.6,4993.2,6439.6,5059.2,4301.4,3984.2,3642.6,5215.0,3433.6,3142.8,2332.8,1672.0,2341.6,2505.8,2304.8,2507.2,2828.6,2273.6,2655.8,1958.8,1677.6,1546.6,1942.0,1767.8,2072.4,1163.2,1303.6,1843.2,1624.6,980.0,136.0,480.0,1080.0
